ignore_col,year,region,economy,Statistic,stats value
8036,2001,Latin America,Argentina,max,3.92
8037,2001,Latin America,Brazil,max,3.79
8038,2001,Latin America,Mexico,max,5.83
8039,2002,Latin America,Argentina,max,10.78
8040,2002,Latin America,Brazil,max,7.76
8041,2002,Latin America,Chile,max,6.79
8042,2002,Latin America,Mexico,max,1.49
8043,2003,Latin America,Argentina,max,7.84
8044,2003,Latin America,Brazil,max,7.62
8045,2003,Latin America,Chile,max,6.46
8046,2003,Latin America,Venezuela,max,9.63
8047,2004,Latin America,Argentina,max,8.06
8048,2004,Latin America,Brazil,max,10.11
8049,2004,Latin America,Ecuador,max,10.1
8050,2004,Latin America,Peru,max,14.46
8051,2005,Latin America,Argentina,max,4.95
8052,2005,Latin America,Brazil,max,10.11
8053,2005,Latin America,Chile,max,3.78
8054,2005,Latin America,Jamaica,max,9.53
8055,2005,Latin America,Mexico,max,1.89
8056,2005,Latin America,Venezuela,max,8.59
8057,2006,Latin America,Argentina,max,6.96
8058,2006,Latin America,Brazil,max,12.09
8059,2006,Latin America,Chile,max,6.79
8060,2006,Latin America,Colombia,max,10.41
8061,2006,Latin America,Jamaica,max,10.3
8062,2006,Latin America,Mexico,max,2.27
8063,2006,Latin America,Peru,max,12.37
8064,2006,Latin America,Uruguay,max,6.91
8065,2007,Latin America,Argentina,max,9.96
8066,2007,Latin America,Brazil,max,9.94
8067,2007,Latin America,Chile,max,8.73
8068,2007,Latin America,Colombia,max,11.56
8069,2007,Latin America,Dominican Republic,max,7.57
8070,2007,Latin America,Peru,max,15.25
8071,2007,Latin America,Puerto Rico,max,2.4
8072,2007,Latin America,Uruguay,max,6.57
8073,2007,Latin America,Venezuela,max,5.39
8074,2008,Latin America,Argentina,max,13.52
8075,2008,Latin America,Bolivia,max,19.05
8076,2008,Latin America,Brazil,max,14.59
8077,2008,Latin America,Chile,max,6.65
8078,2008,Latin America,Colombia,max,14.07
8079,2008,Latin America,Dominican Republic,max,8.24
8080,2008,Latin America,Ecuador,max,11.87
8081,2008,Latin America,Jamaica,max,9.12
8082,2008,Latin America,Mexico,max,4.94
8083,2008,Latin America,Peru,max,8.27
8084,2008,Latin America,Uruguay,max,7.94
8085,2009,Latin America,Argentina,max,13.53
8086,2009,Latin America,Brazil,max,11.84
8087,2009,Latin America,Chile,max,6.77
8088,2009,Latin America,Colombia,max,12.92
8089,2009,Latin America,Dominican Republic,max,11.35
8090,2009,Latin America,Ecuador,max,16.09
8091,2009,Latin America,Guatemala,max,4.23
8092,2009,Latin America,Jamaica,max,16.31
8093,2009,Latin America,Panama,max,4.22
8094,2009,Latin America,Peru,max,7.45
8095,2009,Latin America,Uruguay,max,5.95
8096,2009,Latin America,Venezuela,max,6.51
8097,2010,Latin America,Argentina,max,12.41
8098,2010,Latin America,Bolivia,max,18.23
8099,2010,Latin America,Brazil,max,15.26
8100,2010,Latin America,Chile,max,5.99
8101,2010,Latin America,Colombia,max,12.22
8102,2010,Latin America,Costa Rica,max,4.83
8103,2010,Latin America,Ecuador,max,14.68
8104,2010,Latin America,Guatemala,max,6.65
8105,2010,Latin America,Jamaica,max,6.9
8106,2010,Latin America,Mexico,max,0.42
8107,2010,Latin America,Peru,max,7.21
8108,2010,Latin America,Trinidad and Tobago,max,8.54
8109,2010,Latin America,Uruguay,max,7.24
8110,2011,Latin America,Argentina,max,11.82
8111,2011,Latin America,Barbados,max,3.94
8112,2011,Latin America,Brazil,max,12.23
8113,2011,Latin America,Chile,max,7.0
8114,2011,Latin America,Colombia,max,7.46
8115,2011,Latin America,Guatemala,max,2.54
8116,2011,Latin America,Jamaica,max,5.14
8117,2011,Latin America,Mexico,max,3.03
8118,2011,Latin America,Panama,max,6.04
8119,2011,Latin America,Peru,max,5.75
8120,2011,Latin America,Trinidad and Tobago,max,6.91
8121,2011,Latin America,Uruguay,max,5.95
8122,2011,Latin America,Venezuela,max,1.57
8123,2012,Latin America,Argentina,max,9.63
8124,2012,Latin America,Barbados,max,12.23
8125,2012,Latin America,Brazil,max,15.19
8126,2012,Latin America,Chile,max,7.77
8127,2012,Latin America,Colombia,max,6.72
8128,2012,Latin America,Costa Rica,max,3.33
8129,2012,Latin America,Ecuador,max,18.92
8130,2012,Latin America,El Salvador,max,9.39
8131,2012,Latin America,Mexico,max,4.67
8132,2012,Latin America,Panama,max,1.86
8133,2012,Latin America,Peru,max,5.1
8134,2012,Latin America,Trinidad and Tobago,max,7.19
8135,2012,Latin America,Uruguay,max,4.97
8136,2013,Latin America,Argentina,max,9.62
8137,2013,Latin America,Barbados,max,12.38
8138,2013,Latin America,Brazil,max,15.44
8139,2013,Latin America,Chile,max,8.46
8140,2013,Latin America,Colombia,max,5.85
8141,2013,Latin America,Ecuador,max,17.99
8142,2013,Latin America,Guatemala,max,5.07
8143,2013,Latin America,Jamaica,max,6.28
8144,2013,Latin America,Mexico,max,4.18
8145,2013,Latin America,Panama,max,3.5
8146,2013,Latin America,Peru,max,5.42
8147,2013,Latin America,Puerto Rico,max,2.03
8148,2013,Latin America,Suriname,max,1.71
8149,2013,Latin America,Trinidad and Tobago,max,11.4
8150,2013,Latin America,Uruguay,max,4.91
8151,2014,Latin America,Argentina,max,9.09
8152,2014,Latin America,Barbados,max,7.09
8153,2014,Latin America,Belize,max,3.74
8154,2014,Latin America,Bolivia,max,7.59
8155,2014,Latin America,Brazil,max,17.51
8156,2014,Latin America,Chile,max,8.79
8157,2014,Latin America,Colombia,max,4.86
8158,2014,Latin America,Costa Rica,max,2.53
8159,2014,Latin America,Ecuador,max,17.67
8160,2014,Latin America,El Salvador,max,12.73
8161,2014,Latin America,Guatemala,max,7.36
8162,2014,Latin America,Jamaica,max,14.44
8163,2014,Latin America,Mexico,max,4.48
8164,2014,Latin America,Panama,max,3.44
8165,2014,Latin America,Peru,max,9.24
8166,2014,Latin America,Puerto Rico,max,1.27
8167,2014,Latin America,Suriname,max,5.17
8168,2014,Latin America,Trinidad and Tobago,max,8.48
8169,2014,Latin America,Uruguay,max,6.74
8170,2015,Latin America,Argentina,max,9.49
8171,2015,Latin America,Barbados,max,14.09
8172,2015,Latin America,Brazil,max,18.89
8173,2015,Latin America,Chile,max,8.16
8174,2015,Latin America,Colombia,max,5.17
8175,2015,Latin America,Ecuador,max,17.4
8176,2015,Latin America,Guatemala,max,8.08
8177,2015,Latin America,Mexico,max,6.86
8178,2015,Latin America,Panama,max,4.2
8179,2015,Latin America,Peru,max,6.61
8180,2015,Latin America,Puerto Rico,max,1.41
8181,2015,Latin America,Uruguay,max,2.09
8182,2016,Latin America,Argentina,max,7.9
8183,2016,Latin America,Belize,max,5.3
8184,2016,Latin America,Brazil,max,16.9
8185,2016,Latin America,Chile,max,8.0
8186,2016,Latin America,Colombia,max,8.9
8187,2016,Latin America,Ecuador,max,14.3
8188,2016,Latin America,El Salvador,max,11.5
8189,2016,Latin America,Guatemala,max,9.1
8190,2016,Latin America,Jamaica,max,8.2
8191,2016,Latin America,Panama,max,4.4
8192,2016,Latin America,Peru,max,6.1
8193,2016,Latin America,Puerto Rico,max,1.6
8194,2016,Latin America,Uruguay,max,7.4
8195,2017,Latin America,Argentina,max,6.71
8196,2017,Latin America,Brazil,max,16.5
8197,2017,Latin America,Chile,max,9.94
8198,2017,Latin America,Colombia,max,8.67
8199,2017,Latin America,Ecuador,max,15.35
8200,2017,Latin America,Guatemala,max,12.29
8201,2017,Latin America,Mexico,max,1.4
8202,2017,Latin America,Panama,max,4.67
8203,2017,Latin America,Peru,max,7.44
8204,2017,Latin America,Puerto Rico,max,1.64
8205,2017,Latin America,Uruguay,max,6.43
8206,2018,Latin America,Argentina,max,9.05
8207,2018,Latin America,Brazil,max,20.25
8208,2018,Latin America,Chile,max,8.54
8209,2018,Latin America,Colombia,max,6.5
8210,2018,Latin America,Guatemala,max,11.15
8211,2018,Latin America,Panama,max,6.39
8212,2018,Latin America,Peru,max,8.37
8213,2018,Latin America,Puerto Rico,max,1.85
8214,2018,Latin America,Uruguay,max,5.58
8215,2019,Latin America,Brazil,max,16.16
8216,2019,Latin America,Chile,max,10.61
8217,2019,Latin America,Colombia,max,4.27
8218,2019,Latin America,Ecuador,max,14.69
8219,2019,Latin America,Guatemala,max,14.8
8220,2019,Latin America,Mexico,max,1.82
8221,2019,Latin America,Panama,max,4.66
8222,2019,Latin America,Puerto Rico,max,1.25
8223,2020,Latin America,Brazil,max,8.7
8224,2020,Latin America,Chile,max,6.0
8225,2020,Latin America,Colombia,max,5.5
8226,2020,Latin America,Guatemala,max,12.3
8227,2020,Latin America,Panama,max,4.1
8228,2020,Latin America,Uruguay,max,5.1
8229,2021,Latin America,Brazil,max,9.95
8230,2021,Latin America,Chile,max,7.13
8231,2021,Latin America,Colombia,max,1.83
8232,2021,Latin America,Dominican Republic,max,3.84
8233,2021,Latin America,Guatemala,max,12.68
8234,2021,Latin America,Panama,max,3.74
8235,2021,Latin America,Uruguay,max,4.1
8236,2001,North America,Canada,max,3.89
8237,2001,North America,United States,max,5.83
8238,2002,North America,Canada,max,6.49
8239,2002,North America,United States,max,5.74
8240,2003,North America,Canada,max,3.95
8241,2003,North America,United States,max,5.41
8242,2004,North America,Canada,max,7.04
8243,2004,North America,United States,max,5.45
8244,2005,North America,Canada,max,7.4
8245,2005,North America,United States,max,4.67
8246,2006,North America,Canada,max,5.11
8247,2006,North America,United States,max,5.42
8248,2007,North America,United States,max,4.97
8249,2008,North America,United States,max,8.34
8250,2009,North America,United States,max,5.87
8251,2010,North America,United States,max,7.68
8252,2011,North America,United States,max,9.05
8253,2012,North America,United States,max,8.56
8254,2013,North America,Canada,max,8.44
8255,2013,North America,United States,max,7.49
8256,2014,North America,Canada,max,9.35
8257,2014,North America,United States,max,6.95
8258,2015,North America,Canada,max,8.85
8259,2015,North America,United States,max,7.33
8260,2016,North America,Canada,max,6.8
8261,2016,North America,United States,max,9.2
8262,2017,North America,Canada,max,6.18
8263,2017,North America,United States,max,7.75
8264,2018,North America,Canada,max,7.5
8265,2018,North America,United States,max,7.87
8266,2019,North America,Canada,max,7.44
8267,2019,North America,United States,max,10.59
8268,2020,North America,Canada,max,7.3
8269,2020,North America,United States,max,9.9
8270,2021,North America,Canada,max,8.15
8271,2021,North America,United States,max,8.85
